,,,
Referrer,Count,Label,Types
P478,19583,volume'@en,"Wikidata property to indicate a source'@en,'Wikidata property with datatype string that is not an external identifier'@en"
P593,19562,HomoloGene ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to medicine'@en,'Wikidata property to identify genes'@en"
P1417,19500,Encyclopædia Britannica Online ID'@en,"Wikidata property related to encyclopedias'@en,'Wikidata property for an identifier that suggests notability'@en"
P3517,19289,Geographical Names Board of NSW ID'@en,"Wikidata property for authority control for places'@en,'Wikidata property for a discontinued website'@en"
P649,18665,NRHP reference number'@en,Wikidata property for authority control for cultural heritage'@en
P5270,18539,MonDO ID'@en,"Wikidata property to identify disease'@en,'Wikidata property for an identifier'@en,'Wikidata property related to medicine'@en,'Wikidata property for an identifier that suggests notability'@en"
P6594,18096,Guggenheim fellows ID'@en,"Wikidata property related to New York City'@en,'Wikidata property for authority control for artists'@en,'Wikidata property for an identifier that suggests notability'@en"
P2093,18091,author name string'@en,"Wikidata property to indicate a source'@en,'Wikidata property for items about works'@en,'Wikidata property with datatype string that is not an external identifier'@en"
P9889,17715,NZTCS ID'@en,"Wikidata property to identify taxa'@en,'Wikidata property related to plants and botany'@en,'Wikidata property related to animals and zoology'@en"
P1733,17451,Steam application ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to video games'@en,'Wikidata property for an identifier with restricted access'@en,'Wikidata property related to reviews and media content ratings'@en"
P6188,17445,BDFA player ID'@en,Wikidata property for authority control for association football players'@en
P10554,17381,BillionGraves grave ID'@en,"Wikidata property related to cemeteries and graves'@en,'Wikidata property for an identifier that does not imply notability'@en"
P9322,17283,SVKKL authority ID'@en,Wikidata property for authority control (libraries)'@en
P4124,17156,Who\'s Who in France biography ID'@en,Wikidata property related to biographical dictionaries'@en
P1233,17141,Internet Speculative Fiction Database author ID'@en,Wikidata property for authority control for people'@en
P7421,16893,line(s)'@en,"Wikidata property to indicate a source'@en,'Wikidata property with datatype string that is not an external identifier'@en"
P6526,16848,data.gouv.fr dataset ID'@en,Wikidata property for an identifier'@en
P433,16602,issue'@en,"Wikidata property to indicate a source'@en,'Wikidata property with datatype string that is not an external identifier'@en"
P10112,15834,Australian Statistical Geography 2021 ID'@en,Wikidata property for authority control for places'@en
P8034,15773,Vatican Library VcBA ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control by VIAF member'@en"
P1367,15642,Art UK artist ID'@en,"Wikidata property for authority control for artists'@en,'Wikidata property for an identifier that suggests notability'@en"
P5573,15584,archINFORM location ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to architecture'@en,'Wikidata property for an identifier that suggests notability'@en"
P7831,15576,NMVW ID'@en,Wikidata property for authority control for people'@en
P8172,15433,Sejm-Wielki.pl profile ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to genealogy'@en"
P3051,15402,Kindred Britain ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to genealogy'@en"
P8301,15295,Montreux Jazz Festival person ID'@en,"Wikidata property related to festivals, fairs, etc.'@en,'Wikidata property for authority control for people'@en"
P6698,15240,Japan Search name ID'@en,"Wikidata property for authority control'@en,'Wikidata property for an identifier'@en"
P10442,15093,hostelworld hostel ID'@en,"Wikidata property for authority control for hotels'@en,'Wikidata property for an identifier that does not imply notability'@en,'Wikidata property related to e-commerce'@en"
P8300,14778,Montreux Jazz Festival concert ID'@en,"Wikidata property related to festivals, fairs, etc.'@en,'Wikidata property to identify events'@en,'Wikidata property related to music'@en,'Wikidata property for an identifier that does not imply notability'@en"
P396,14727,SBN author ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en,'Wikidata property for authority control by VIAF member'@en"
P6634,14690,LinkedIn personal profile ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for an identifier'@en,'Wikidata property for an identifier that does not imply notability'@en,'Wikidata property for an identifier with restricted access'@en,'Wikidata property related to websites'@en"
P402,14597,OpenStreetMap relation ID'@en,"Wikidata property for authority control for places'@en,'Wikidata property for authority control, with reciprocal use of Wikidata'@en"
P9559,14549,Sigla ID'@en,"Wikidata property to identify libraries'@en,'Wikidata property for an identifier that suggests notability'@en"
P2435,14382,PORT person ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for identification in the film industry'@en"
P428,14028,botanist author abbreviation'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to plants and botany'@en"
P1614,13973,History of Parliament ID'@en,Wikidata property for authority control for politicians'@en
P3630,13734,Babelio author ID'@en,Wikidata property for authority control for people'@en
P4256,13584,BOE ID'@en,"Wikidata property for authority control for works'@en,'Wikidata property of an identifier with a date'@en"
P195,13344,collection'@en,"Wikidata property related to libraries'@en,'Wikidata property related to museums'@en,'Wikidata property for items about works'@en,'Wikidata property used as \""depicts\"" (P180) qualifier on Commons'@en,'Wikidata property related to archives'@en"
P1220,13319,Internet Broadway Database person ID'@en,"Wikidata property related to New York City'@en,'Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en"
P2015,13303,Hansard (1803–2005) ID'@en,"Wikidata property for an identifier'@en,'Wikidata property for authority control for politicians'@en"
P2461,13214,ComLaw ID'@en,"Wikidata property for authority control for works'@en,'Wikidata property related to law and justice'@en,'Wikidata property of an identifier with a date'@en"
P640,13206,Léonore ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to awards, prizes and honours'@en"
P8286,13137,Olympedia people ID'@en,"Wikidata property related to Olympism'@en,'Wikidata property for authority control for sports people'@en"
P7526,13081,Czech cadastral area ID'@en,Wikidata property for an identifier'@en
P4119,13070,NLS Geographic Names Register Place ID'@en,Wikidata property for authority control for administrative subdivisions'@en
P6925,13042,Musicalics composer ID'@en,Wikidata property to identify composers'@en
P3547,12958,AFL Tables player ID'@en,Wikidata property for authority control for Australian rules football players'@en
P3217,12912,Dictionary of Swedish National Biography ID'@en,"Wikidata property for authority control, with reciprocal use of Wikidata'@en,'Wikidata property related to genealogy'@en,'Wikidata property related to biographical dictionaries'@en"
P4459,12906,Spanish Biographical Dictionary ID'@en,Wikidata property related to biographical dictionaries'@en
P528,12881,catalog code'@en,"Wikidata property for items about works'@en,'Wikidata property for a multi-source identifier'@en"
P1045,12839,Sycomore ID'@en,Wikidata property for authority control for politicians'@en
P1826,12686,Baseball-Reference.com minor & foreign league player ID'@en,"Wikidata property for authority control for baseball players'@en,'Wikidata property for an identifier that suggests notability'@en"
P243,12676,OCLC control number'@en,"Wikidata property for authority control for works'@en,'Wikidata property to identify books'@en,'Wikidata property for authority control (libraries)'@en"
P8974,12670,SAPA ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to art'@en"
P715,12635,DrugBank ID'@en,"Wikidata property to identify substances'@en,'Wikidata property related to medicine'@en"
P393,12456,edition number'@en,"Wikidata property with datatype string that is not an external identifier'@en,'Wikidata property related to events'@en,'Wikidata property for items about books'@en"
P3957,12263,RealGM basketball player ID'@en,"Wikidata property for authority control for basketball players'@en,'Wikidata property for an identifier that suggests notability'@en"
P50,12159,author'@en,"Wikidata property to indicate a source'@en,'Wikidata property for items about people'@en,'Wikidata property for items about works'@en,'Wikidata property used as \""depicts\"" (P180) qualifier on Commons'@en"
P8094,11792,GeneaStar person ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to genealogy'@en"
P6264,11517,Harvard Index of Botanists ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to plants and botany'@en"
P7411,11459,Pubs Galore ID'@en,Wikidata property for an identifier'@en
P8990,11407,World Rowing ID (UUID format)'@en,"Wikidata property related to rowing'@en,'Wikidata property for an identifier that suggests notability'@en"
P5935,11305,Flanders Arts Institute production ID'@en,"Wikidata property for authority control for works'@en,'Wikidata property related to theater'@en"
P902,11232,HDS ID'@en,"Wikidata property related to subject dictionaries'@en,'Wikidata property for an identifier'@en"
P4789,11209,Who\'s Who UK ID'@en,"Wikidata property for an identifier that suggests notability'@en,'Wikidata property related to biographical dictionaries'@en"
P549,11065,Mathematics Genealogy Project ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to mathematics'@en,'Wikidata property related to research'@en"
P781,11049,SIKART ID'@en,"Wikidata property for authority control for artists'@en,'Wikidata property related to biographical dictionaries'@en"
P2601,10941,Eurohockey.com player ID'@en,"Wikidata property for authority control for ice hockey players'@en,'Wikidata property for an identifier that suggests notability'@en"
P8290,10877,Archivio Storico Ricordi person ID'@en,Wikidata property for authority control for people'@en
P1480,10843,sourcing circumstances'@en,Wikidata qualifier'@en
P6782,10785,ROR ID'@en,"Wikidata property to identify organizations'@en,'Wikidata property for authority control, with reciprocal use of Wikidata'@en,'Wikidata property related to science'@en,'Wikidata property related to research'@en"
P486,10633,MeSH descriptor ID'@en,"Wikidata property for authority control'@en,'Wikidata property for an identifier'@en,'Wikidata property related to medicine'@en,'Wikidata property related to biology'@en"
P3427,10529,AS.com athlete ID'@en,"Wikidata property related to association football'@en,'Wikidata property for authority control for sports people'@en"
P1907,10317,Australian Dictionary of Biography ID'@en,"Wikidata property for an identifier that suggests notability'@en,'Wikidata property related to biographical dictionaries'@en"
P8953,10306,Students of Prague Universities ID'@en,Wikidata property for authority control for people'@en
P5034,10189,National Library of Korea ID'@en,"Wikidata property for authority control'@en,'Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en,'Wikidata property for authority control by VIAF member'@en,'Wikidata property for an identifier that suggests notability'@en"
P1296,10092,Gran Enciclopèdia Catalana ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to encyclopedias'@en"
P7624,9963,YVNG ID'@en,"Wikidata property for authority control for victims of National Socialism'@en,'Wikidata property related to the Holocaust'@en"
P1184,9912,Handle ID'@en,Wikidata property for authority control for works'@en
P839,9790,IMSLP ID'@en,"Wikidata property linking to external MediaWiki wiki'@en,'Wikidata property for authority control of musicians and musical ensembles'@en,'Wikidata property for authority control for compositions'@en"
P4118,9624,NLS-FI Geographic Name ID'@en,Wikidata property for authority control for places'@en
